2019-07-15 175938	start: ICSMA-19-192-01---
2019-07-15 175939	ICSMA-19-192-01 error column: ['vulnerability_overview']
2019-07-15 175939	start: ICSA-19-192-01---
2019-07-15 175939	update ICSA-19-192-01
2019-07-15 175939	start: ICSA-19-192-02---
2019-07-15 175940	update ICSA-19-192-02
2019-07-15 175940	start: ICSA-19-192-03---
2019-07-15 175940	ICSA-19-192-03 error column: ['vulnerability_overview']
2019-07-15 175940	start: ICSA-19-192-04---
2019-07-15 175940	ICSA-19-192-04 error column: ['vulnerability_overview']
2019-07-15 175941	start: ICSA-19-192-05---
2019-07-15 175941	ICSA-19-192-05 error column: ['vulnerability_overview']
2019-07-15 175941	start: ICSA-19-192-06---
2019-07-15 175941	ICSA-19-192-06 error column: ['product']
2019-07-15 175941	start: ICSA-19-192-07---
2019-07-15 175942	update ICSA-19-192-07
2019-07-15 175942	start: ICSMA-19-190-01---
2019-07-15 175942	update ICSMA-19-190-01
2019-07-15 175942	start: ICSA-19-190-01---
2019-07-15 175943	update ICSA-19-190-01
2019-07-15 175943	start: ICSA-19-190-02---
2019-07-15 175943	update ICSA-19-190-02
2019-07-15 175943	start: ICSA-19-190-03---
2019-07-15 175944	update ICSA-19-190-03
2019-07-15 175944	start: ICSA-19-190-04---
2019-07-15 175944	update ICSA-19-190-04
2019-07-15 175944	start: ICSA-19-190-05---
2019-07-15 175945	update ICSA-19-190-05
2019-07-15 175945	start: ICSA-19-183-01---
2019-07-15 175945	update ICSA-19-183-01
2019-07-15 175945	start: ICSA-19-183-02---
2019-07-15 175945	ICSA-19-183-02 error column: ['vulnerability_overview']
2019-07-15 175945	start: ICSMA-19-178-01---
2019-07-15 175946	update ICSMA-19-178-01
2019-07-15 175946	start: ICSA-19-178-01---
2019-07-15 175947	update ICSA-19-178-01
2019-07-15 175947	start: ICSA-19-178-02---
2019-07-15 175947	update ICSA-19-178-02
2019-07-15 175947	start: ICSA-19-178-03---
2019-07-15 175947	update ICSA-19-178-03
2019-07-15 175947	start: ICSA-19-178-04---
2019-07-15 175948	update ICSA-19-178-04
2019-07-15 175948	start: ICSA-19-178-05---
2019-07-15 175948	update ICSA-19-178-05
2019-07-15 175948	start: ICSA-19-171-01---
2019-07-15 175949	update ICSA-19-171-01
2019-07-15 175949	start: ICSMA-19-164-01---
2019-07-15 175949	update ICSMA-19-164-01
2019-07-15 175949	start: ICSA-19-164-01---
2019-07-15 175949	update ICSA-19-164-01
2019-07-15 175950	start: ICSA-19-164-02---
2019-07-15 175951	update ICSA-19-164-02
2019-07-15 175951	start: ICSA-19-162-01---
2019-07-15 175952	update ICSA-19-162-01
2019-07-15 175953	start: ICSA-19-162-02---
2019-07-15 175954	update ICSA-19-162-02
2019-07-15 175955	start: ICSA-19-162-03---
2019-07-15 175955	update ICSA-19-162-03
2019-07-15 175955	start: ICSA-19-162-04---
2019-07-15 175956	update ICSA-19-162-04
2019-07-15 175956	start: ICSA-19-157-01---
2019-07-15 175956	update ICSA-19-157-01
2019-07-15 175957	start: ICSA-19-157-02---
2019-07-15 175958	update ICSA-19-157-02
