2019-07-15 180200	start: ICSA-19-036-05---
2019-07-15 180201	update ICSA-19-036-05
2019-07-15 180202	start: ICSA-19-031-02---
2019-07-15 180202	update ICSA-19-031-02
2019-07-15 180204	start: ICSA-19-031-01---
2019-07-15 180204	update ICSA-19-031-01
2019-07-15 180205	start: ICSMA-19-029-01---
2019-07-15 180205	update ICSMA-19-029-01
2019-07-15 180206	start: ICSMA-19-029-02---
2019-07-15 180207	update ICSMA-19-029-02
2019-07-15 180208	start: ICSA-19-029-01---
2019-07-15 180208	start: ICSA-19-029-02---
2019-07-15 180209	update ICSA-19-029-02
2019-07-15 180209	start: ICSA-19-029-03---
2019-07-15 180209	update ICSA-19-029-03
2019-07-15 180209	start: ICSA-19-024-01---
2019-07-15 180210	update ICSA-19-024-01
2019-07-15 180212	start: ICSA-19-024-02---
2019-07-15 180212	update ICSA-19-024-02
2019-07-15 180214	start: ICSMA-19-022-01---
2019-07-15 180214	update ICSMA-19-022-01
2019-07-15 180215	start: ICSA-19-022-01---
2019-07-15 180216	update ICSA-19-022-01
2019-07-15 180216	start: ICSA-19-017-01---
2019-07-15 180217	update ICSA-19-017-01
2019-07-15 180218	start: ICSA-19-017-02---
2019-07-15 180218	error linkhttps://www.us-cert.gov/ics/advisories/ICSA-19-017-02
2019-07-15 180220	start: ICSA-19-017-03---
2019-07-15 180220	update ICSA-19-017-03
2019-07-15 180222	start: ICSA-19-015-01---
2019-07-15 180223	update ICSA-19-015-01
2019-07-15 180224	start: ICSA-19-010-01---
2019-07-15 180224	update ICSA-19-010-01
2019-07-15 180225	start: ICSA-19-010-02---
2019-07-15 180225	update ICSA-19-010-02
2019-07-15 180226	start: ICSA-19-010-03---
2019-07-15 180226	update ICSA-19-010-03
2019-07-15 180227	start: ICSA-18-333-02---
2019-07-15 180227	update ICSA-18-333-02
2019-07-15 180227	start: ICSA-19-008-01---
2019-07-15 180228	update ICSA-19-008-01
2019-07-15 180228	start: ICSA-19-008-02---
2019-07-15 180228	update ICSA-19-008-02
2019-07-15 180229	start: ICSA-19-003-01---
2019-07-15 180229	update ICSA-19-003-01
2019-07-15 180229	start: ICSA-19-003-02---
2019-07-15 180229	error linkhttps://www.us-cert.gov/ics/advisories/ICSA-19-003-02
2019-07-15 180230	start: ICSA-19-003-03---
2019-07-15 180230	update ICSA-19-003-03
2019-07-15 180231	start: ICSA-18-354-01---
2019-07-15 180232	update ICSA-18-354-01
