2019-06-17 100752	,	開始抓certeu的資料
2019-06-17 100756	,	新增: https://www.cnbeta.com/articles/tech/852675.htm
2019-06-17 100756	,	新增: https://usahitman.com/nsupcksirpgms/
2019-06-17 100756	,	新增: https://www.canberratimes.com.au/story/6218079/auditor-warns-of-cyber-security-flaws-in-government-departments/
2019-06-17 100756	,	新增: https://pitchbook.com/news/articles/the-top-11-vc-investors-in-cybersecurity
2019-06-17 100756	,	新增: https://siliconangle.com/2019/06/16/cyber-cold-war-heats-russia-us-attempt-hack-others-power-grids/
2019-06-17 100756	,	新增: https://www.dailyesports.gg/dreamhack-partners-with-akamai-technologies-for-cyber-security/
2019-06-17 100756	,	新增: https://russian.rt.com/world/news/641684-tramp-gazeta-izmena?utm_source=rss&utm_medium=rss&utm_campaign=RSS
2019-06-17 100756	,	新增: https://www.finextra.com/newsarticle/33981/jointly-developed-ai-systems-can-tackle-common-security-issues---report?utm_medium=rssfinextra&utm_source=finextrafeed
2019-06-17 100756	,	新增: http://www.barometern.se/nyheter/stromavbrott-i-sydamerika-miljoner-utan-el/
2019-06-17 100756	,	新增: https://www.dailymail.co.uk/news/article-7148349/Facebook-takes-Huawei-ads.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
2019-06-17 100756	,	新增: https://www.leiphone.com/news/201906/ySIGiF7CaH3ziBkj.html
2019-06-17 100756	,	新增: https://irishinfosecnews.wordpress.com/2019/06/17/synack-integrates-crowdsourced-human-intelligence-and-ai-for-smart-security-testing/
2019-06-17 100756	,	新增: https://cyberstartupobservatory.com/why-it-hygiene-becomes-key-to-protecting-your-critical-assets/
2019-06-17 100756	,	新增: https://www.risk.net/risk-management/6470126/top-10-op-risks-2019
2019-06-17 100756	,	新增: https://www.theverge.com/2019/6/13/18677282/telegram-ddos-attack-china-hong-kong-protest-pavel-durov-state-actor-sized-cyberattack
2019-06-17 100756	,	新增: https://www.abc.net.au/news/2019-06-14/federal-government-prepares-artificial-intelligence-guideline/11208264
2019-06-17 100756	,	新增: https://www.brookcourtsolutions.com/how-threat-intelligence-prioritises-risk-in-vulnerability-management/
2019-06-17 100756	,	新增: https://www.cisomag.com/cybercriminals-use-google-calendar-alerts-to-steal-sensitive-information/
2019-06-17 100756	,	新增: https://www.foxbusiness.com/features/cyber-security-tips-traveling
2019-06-17 100756	,	新增: https://thinkprogress.org/intelligence-community-does-not-trust-trump-on-russia-27e31452f9fc/
2019-06-17 100756	,	新增: https://www.cyberscoop.com/john-bolton-offensive-cybersecurity-not-limited-election-security/
2019-06-17 100756	,	新增: https://www.lookingglasscyber.com/blog/island-hopping-modern-day-cyber-warfare/
2019-06-17 100756	,	新增: http://www.tobem.com/cyberwar/understanding-cyber-warfare-and-its-implications-for-indian-armed-forces/
2019-06-17 100756	,	新增: https://bb.lv/statja/v-mire/2019/06/17/nyt-otvetila-na-obvinenija-trampa-za-statju-o-kiberatakah-na-rf
2019-06-17 100756	,	新增: https://finance.sina.com.cn/stock/marketresearch/2019-06-17/doc-ihvhiews9347776.shtml
2019-06-17 100756	,	新增: https://tech.sina.com.cn/n/k/2019-06-17/doc-ihvhiews9343330.shtml
2019-06-17 100756	,	新增: https://finance.sina.com.cn/stock/marketresearch/2019-06-17/doc-ihvhiqay6151059.shtml
2019-06-17 100756	,	新增: https://tech.sina.com.cn/e/2019-06-17/doc-ihvhiqay6143770.shtml
